SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,BUYER_AGENCY_COMPENSATION,NUM_STORIES,REDFIN_ESTIMATE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
Redfin Data,,Condo/Co-op,1653 Albatross Dr,Sunnyvale,CA,94087,1200000,3.0,2.5,Sunnyvale,1280.0,2900.0,1971.0,20,938.0,607.0,Pre On-Market,,,https://www.redfin.com/CA/Sunnyvale/1653-Albatross-Dr-94087/home/760126,Coming Soon,94837,N,Y,37.3395915,-122.0317565,9,8,6,938.0,9092.0,84,Very bikeable,65,Somewhat walkable,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 32 restaurants, 4 parksTransit22, 23, 25, 51, 51H, 53, 55, 56, Rapid 522, Rapid 523, School 255","Sep 10, 2023","Coming SoonOn market September 28, 2023",1200000.0,"Jun 16, 2011",Pending (Pending (Do Not Show))MLSListings #ML81118466,NA,"May 26, 2011",Pending (Pending Without Release)MLSListings #ML81118466,NA,"Apr 27, 2011",Listed (Active)MLSListings #ML81118466,595000.0,https://www.redfin.com/CA/Sunnyvale/1653-Albatross-Dr-94087/home/760126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,21561 Point Reyes,Cupertino,CA,95014,1625000,2.0,2.5,CUPERTINO,1435.0,,2023.0,1,1132.0,440.0,Active,,,https://www.redfin.com/CA/Cupertino/21561-Point-Reyes-Ter-95014/home/186488096,MLSListings,ML81943583,N,Y,37.32366,-122.047858,9,9,10,1132.0,11930.0,80,Very bikeable,80,Very walkable,47,Some transit,NA,NA,NA,NA,"Places5 groceries, 25 restaurants, 6 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523, School 255","Sep 29, 2023",Price ChangedMLSListings #ML81943583,1625000.0,"Sep 29, 2023",Listed (Active)MLSListings #ML81943583,1780915.0,,,,,,,https://www.redfin.com/CA/Cupertino/21561-Point-Reyes-Ter-95014/home/186488096,"Attached Garage, Guest/Visitor Parking, Tandem Parking",2.0,2+ Stall Shower,Breakfast Bar,"Electricity Hookup (220V), Inside, Upper Floor","Carpet, Laminate, Tile",Central Forced Air,Central Forced Air,Public Utilities,"Garbage, Insurance, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Reserves",Monthly,Boardwalk Investments,2.0,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,19916 Portal Plz,Cupertino,CA,95014,1168000,2.0,2.5,CUPERTINO,1326.0,754.0,1982.0,2,881.0,690.0,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/19916-Portal-Plz-95014/home/1776659,MLSListings,ML81943374,N,Y,37.321806,-122.0199149,9,9,9,881.0,8948.0,77,Very bikeable,85,Very walkable,45,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 34 restaurants, 3 parksTransit23, 25, 51, 51H, 53, 55, 56, Express 101, Rapid 523","Sep 28, 2023",Listed (Active)MLSListings #ML81943374,1168000.0,"Apr 29, 2010",Pending (Pending (Do Not Show))MLSListings #ML81016431,NA,"Apr 22, 2010",Relisted (Active)MLSListings #ML81016431,NA,"Apr 15, 2010",Pending (Pending (Do Not Show))MLSListings #ML81016431,NA,https://www.redfin.com/CA/Cupertino/19916-Portal-Plz-95014/home/1776659,Detached,1.0,"Double Sinks, Half on Ground Floor, Primary (Stall Shower(s))","Dining Area in Living Room, Eat in Kitchen",Inside,"Laminate, Tile",,"Electric, Wall Furnace",Public Utilities,"Common Area Electricity, Common Area Gas, Exterior Painting, Fencing, Garbage, Insurance (Common Area), Insurance (Liability), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Roof, Water",,Portal Plaza Homeowner association,2.5,2.0,1187387.0,"Apr 6, 2010",Listed (Active)MLSListings #ML81016431,539000.0,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,924 Ferngrove Dr,Cupertino,CA,95014,2998000,5.0,3.0,CUPERTINO,2064.0,6267.0,1960.0,3,1453.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/924-Ferngrove-Dr-95014/home/1183839,MLSListings,ML81942779,N,Y,37.3122702,-122.0083319,9,8,9,1453.0,21198.0,81,Very bikeable,47,Car-dependent,37,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 32 restaurants, 7 parksTransit23, 25, 26, 51, 53, 55, 56, 57, Express 101, Rapid 523","Sep 27, 2023",Listed (Active)MLSListings #ML81942779,2998000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/924-Ferngrove-Dr-95014/home/1183839,"Attached Garage, Gate/Door Opener, Off-Street Parking, On Street, Room for Oversized Vehicle",2.0,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), 2+ Showers Over Tubs, Tile, Tub in Master Bedroom, Updated Bath(s)","Breakfast Bar, Breakfast Room, Dining Area in Living Room, Eat in Kitchen, No Formal Dining Room","Electricity Hookup (110V), Electricity Hookup (220V), Inside, Washer/Dryer","Hardwood, Tile, Other (See Remarks)",Window/Wall Unit,"Fireplace, Gas, Radiant, Radiant Floors",Public Utilities,,,,2.5,2.0,3036349.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,22421 Carnoustie Ct,Cupertino,CA,95014,2999000,4.0,2.5,CUPERTINO,2356.0,7768.0,1964.0,3,1273.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/22421-Carnoustie-Ct-95014/home/780032,MLSListings,ML81943272,N,Y,37.3119078,-122.0679204,9,9,10,1273.0,21205.0,73,Very bikeable,38,Car-dependent,0,Minimal transit,Minimal,Major,Moderate,Minimal,"Places7 groceries, 17 restaurants, 19 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523","Sep 27, 2023",Listed (Active)MLSListings #ML81943272,2999000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/22421-Carnoustie-Ct-95014/home/780032,"Attached Garage, Gate/Door Opener",2.0,"Half on Ground Floor, Primary (Stall Shower(s)), 2+ Stall Shower","Breakfast Bar, Dining Area, Eat in Kitchen","Electricity Hookup (110V), Electricity Hookup (220V), In Utility Room, Inside","Carpet, Hardwood, Tile, Vinyl/Linoleum",,Central Forced Air (Gas),Public Utilities,,,,2.5,2.0,2982910.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,11428 Garden Terrace Dr,Cupertino,CA,95014,1888000,4.0,2.5,CUPERTINO,1852.0,1736.0,1981.0,3,1019.0,460.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/11428-Garden-Terrace-Dr-95014/home/1838358,MLSListings,ML81943256,N,Y,37.3021625,-122.0356332,9,9,10,1019.0,13809.0,70,Very bikeable,60,Somewhat walkable,24,Minimal transit,Minimal,Moderate,Moderate,Minimal,"Places3 groceries, 33 restaurants, 5 parksTransit23, 25, 51, 51H, 55, 56, Rapid 523","Sep 27, 2023",Listed (Active)MLSListings #ML81943256,1888000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/11428-Garden-Terrace-Dr-95014/home/1838358,"Attached Garage, Guest/Visitor Parking",2.0,"Double Sinks, Half on Ground Floor, Primary (Stall Shower(s)), Shower and Tub, Tile, Updated Bath(s)",Dining Area,Inside,"Carpet, Laminate, Tile",,Central Forced Air,Public Utilities,"Exterior Painting, Fencing, Insurance, Insurance (Liability), Landscaping/Gardening, Maintenance (Common Area), Management Fee, Reserves, Roof",Monthly,GTV Homeowners Association,2.5,2.0,1895398.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1650 Grosbeak Ave,Sunnyvale,CA,94087,3075000,4.0,2.5,SUNNYVALE,2100.0,6324.0,2020.0,3,1464.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Sunnyvale/1650-Grosbeak-Ave-94087/home/1061784,MLSListings,ML81943254,N,Y,37.339371,-122.0189905,9,8,6,1464.0,21742.0,77,Very bikeable,63,Somewhat walkable,35,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 29 restaurants, 5 parksTransit22, 23, 25, 51, 51H, 53, 55, 56, Express 101, Rapid 522, Rapid 523, School 255","Sep 27, 2023",Listed (Active)MLSListings #ML81943254,3075000.0,"Jul 31, 2003",Listing RemovedMLSListings #ML80325112,NA,"May 3, 2003",ListedMLSListings #ML80325112,612500.0,,,,https://www.redfin.com/CA/Sunnyvale/1650-Grosbeak-Ave-94087/home/1061784,"Attached Garage, Gate/Door Opener, On Street",2.0,"Double Sinks, Dual Flush Toilet, Outside Access, Primary (Stall Shower(s)), Shower and Tub, Tile, Updated Bath(s)","Breakfast Bar, Dining Area, Dining Bar, Eat in Kitchen","In Garage, Outside, Tub/Sink, Washer/Dryer","Hardwood, Tile",Central Forced Air,Central Forced Air (Gas),Public Utilities,,,,2.5,1.0,3056652.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,818 Alderbrook Ln,Cupertino,CA,95014,1998000,3.0,2.0,CUPERTINO,1201.0,7258.0,1960.0,3,1664.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/818-Alderbrook-Ln-95014/home/1805262,MLSListings,ML81943231,N,Y,37.3139363,-122.0160154,9,9,9,1664.0,14127.0,73,Very bikeable,64,Somewhat walkable,38,Some transit,Major,Minimal,Moderate,Minimal,"Places5 groceries, 31 restaurants, 2 parksTransit23, 25, 51, 51H, 53, 55, 56, Express 101, Rapid 523","Sep 27, 2023",Listed (Active)MLSListings #ML81943231,1998000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/818-Alderbrook-Ln-95014/home/1805262,"Attached Garage, Enclosed, Gate/Door Opener, On Street, Uncovered Parking",2.0,"Full on Ground Floor, Primary (Stall Shower(s)), Tub",Eat in Kitchen,"In Garage, Washer/Dryer","Carpet, Vinyl/Linoleum","Ceiling Fan, Central Forced Air, Whole House Fan",Central Forced Air (Gas),Public Utilities,,,,2.5,1.0,2061975.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,10080 Judy Ave,Cupertino,CA,95014,4850000,5.0,4.5,CUPERTINO,3779.0,9375.0,2023.0,4,1283.0,,Active,,,https://www.redfin.com/CA/Cupertino/10080-Judy-Ave-95014/home/794599,MLSListings,ML81943132,N,Y,37.3217344,-122.0052228,9,8,9,1283.0,34293.0,77,Very bikeable,62,Somewhat walkable,42,Some transit,Minimal,Minimal,Moderate,Minimal,"Places1 grocery, 40 restaurants, 5 parksTransit23, 25, 51, 53, 55, 56, Express 101, Rapid 523","Sep 26, 2023",Listed (Active)MLSListings #ML81943132,4850000.0,"Jul 28, 2022",ListedMLSListings #ML81901911,2500000.0,,,,,,,https://www.redfin.com/CA/Cupertino/10080-Judy-Ave-95014/home/794599,Attached Garage,2.0,,Dining Area in Family Room,,Hardwood,Central Forced Air,Central Forced Air,Public Utilities,,,,2.5,1.0,4823059.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1644 Finch Way,Sunnyvale,CA,94087,2098000,3.0,2.0,SUNNYVALE,1525.0,6155.0,1969.0,4,1376.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Sunnyvale/1644-Finch-Way-94087/home/886158,MLSListings,ML81943129,N,Y,37.3395387,-122.0225384,9,8,6,1376.0,14834.0,71,Very bikeable,55,Somewhat walkable,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 31 restaurants, 4 parksTransit22, 23, 25, 51, 51H, 53, 55, 56, Express 101, Rapid 522, Rapid 523, School 255","Sep 26, 2023",Listed (Active)MLSListings #ML81943129,2098000.0,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/1644-Finch-Way-94087/home/886158,No Garage,,"Primary (Stall Shower(s)), Shower Over Tub","Dining ""L"", Dining Area in Living Room",In Utility Room,"Carpet, Tile, Vinyl/Linoleum",,Central Forced Air (Gas),Public Utilities,,,,2.5,1.0,2148510.0,,,,,,,,,,,,,,,,,,
